file_name,streetview_id,latitude,longitude,altitude,date,time,distance,heading,streetview,project
GSfile,119,31.6676417,34.56997,41.861,6/13/2022,11:36:58:254,5.564640832,66.22108534,GS010598_122.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,120,31.6676187,34.5699178,41.852,6/13/2022,11:36:59:299,5.390903565,66.67901185,GS010598_123.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,121,31.6675968,34.569867,42.032,6/13/2022,11:37:00:289,4.590145447,67.02484594,GS010598_124.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,122,31.6675784,34.5698236,42.094,6/13/2022,11:37:01:224,4.283023499,66.52743295,GS010598_125.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,123,31.6675609,34.5697833,42.246,6/13/2022,11:37:02:269,5.040881864,65.62037084,GS010598_126.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,124,31.6675396,34.5697363,42.322,6/13/2022,11:37:03:259,6.502313947,64.78510443,GS010598_127.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,125,31.6675113,34.5696762,42.435,6/13/2022,11:37:04:304,8.568006494,63.05278665,GS010598_128.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,126,31.6674718,34.5695985,42.523,6/13/2022,11:37:05:294,8.716916298,62.88571246,GS010598_129.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,127,31.6674314,34.5695196,42.572,6/13/2022,11:37:06:229,8.801222898,62.48918144,GS010598_130.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,128,31.6673901,34.5694403,42.591,6/13/2022,11:37:07:274,8.422432363,63.0761073,GS010598_131.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,129,31.6673513,34.5693639,42.717,6/13/2022,11:37:08:264,8.302073615,62.37122369,GS010598_132.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,130,31.6673122,34.5692892,42.847,6/13/2022,11:37:09:254,8.320883434,61.61182602,GS010598_133.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,131,31.6672721,34.569215,42.971,6/13/2022,11:37:10:299,7.477469637,60.89390401,GS010598_134.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,132,31.6672353,34.5691489,43.085,6/13/2022,11:37:11:289,6.980204239,60.23495833,GS010598_135.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,133,31.6672003,34.5690877,43.204,6/13/2022,11:37:12:279,7.060758755,60.74277293,GS010598_136.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,134,31.6671654,34.5690254,43.249,6/13/2022,11:37:13:269,6.532486478,66.41959301,GS010598_137.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,135,31.6671386,34.568964,43.212,6/13/2022,11:37:14:259,7.149720958,73.85371549,GS010598_138.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,136,31.6671179,34.5688925,43.22,6/13/2022,11:37:15:249,6.831474722,75.63257074,GS010598_139.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,137,31.6671002,34.5688234,43.242,6/13/2022,11:37:16:294,7.079605879,67.27713968,GS010598_140.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,138,31.6670721,34.5687563,43.228,6/13/2022,11:37:17:284,8.294956983,60.31448376,GS010598_141.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,139,31.6670306,34.5686835,43.146,6/13/2022,11:37:18:274,8.131447665,65.98862981,GS010598_142.jpg,2022_RVGP_Israil_Data_Ph2
